passenger1,passenger2,flightsTogether
218,272,5
743,761,5
792,793,5
791,793,5
1035,1044,5
1026,1095,5
2105,2183,5
3402,3414,5
212,248,5
610,624,5
758,764,5
701,747,5
1038,1044,5
324,1053,5
392,1095,5
3151,3182,5
3116,3141,5
293,684,5
3413,3483,5
3410,3444,5
3461,3477,5
726,740,5
716,773,5
716,758,5
707,773,5
737,773,5
1025,1053,5
1035,1072,5
1023,1026,5
1038,1095,5
734,792,5
763,781,5
733,743,5
743,793,5
731,758,5
721,749,5
705,751,5
774,795,5
749,755,5
1051,1056,5
218,221,5
3440,3471,5
3405,3491,5
313,374,5
731,755,5
719,771,5
362,1057,5
374,1013,5
3471,3475,5
313,328,5
703,726,5
730,749,5
712,761,5
739,758,5
719,721,5
755,793,5
1044,1056,5
368,1013,5
712,795,5
705,778,5
362,1023,5
2105,2106,5
286,295,5
263,272,5
231,283,5
762,799,5
746,781,5
747,763,5
709,758,5
719,774,5
705,766,5
1007,1021,5
1247,1269,5
719,797,5
2106,2178,5
3122,3193,5
3123,3162,5
3157,3180,5
215,610,5
3421,3483,5
3414,3440,5
729,747,5
726,733,5
721,763,5
724,781,5
739,743,5
719,763,5
760,799,5
701,727,5
1002,1051,5
392,1001,5
3141,3184,5
330,360,5
726,727,5
758,785,5
751,758,5
705,749,5
778,799,5
328,382,5
328,381,5
324,1095,5
246,286,5
729,731,5
727,763,5
716,774,5
730,785,5
721,752,5
721,739,5
739,774,5
734,752,5
712,792,5
3195,3198,5
3461,3491,5
366,381,5
706,793,5
743,768,5
743,771,5
731,793,5
730,778,5
721,792,5
721,733,5
360,1023,5
2105,2152,5
3436,3490,5
3405,3471,5
729,785,5
706,719,5
709,719,5
774,791,5
740,758,5
1021,1072,5
705,799,5
650,3123,5
330,354,5
733,737,5
707,752,5
737,785,5
1031,1038,5
1038,1043,5
3421,3471,5
3421,3440,5
3475,3491,5
308,330,5
729,761,5
726,729,5
733,750,5
211,215,5
1025,1031,5
2106,2153,5
758,795,5
758,762,5
719,750,5
750,792,5
1035,1051,5
1014,1066,5
1002,1056,5
3167,3193,5
3421,3477,5
247,263,5
381,395,5
308,355,5
703,761,5
703,739,5
749,772,5
1007,1025,5
2123,2183,5
3436,3440,5
313,395,5
706,799,5
743,755,5
721,751,5
709,721,5
709,737,5
734,761,5
778,797,5
701,743,5
305,374,5
293,3104,5
308,334,5
729,778,5
729,792,5
731,759,5
707,740,5
773,795,5
362,1013,5
712,731,5
734,751,5
719,724,5
759,785,5
703,785,5
3444,3475,5
330,392,5
771,785,5
781,785,5
750,771,5
1045,1095,5
1023,1038,5
308,364,5
743,795,5
727,750,5
366,1029,5
705,797,5
266,293,5
226,275,5
704,743,5
758,773,5
734,746,5
719,726,5
749,795,5
1035,1045,5
315,381,5
2123,2175,5
299,684,5
286,289,5
247,281,5
773,781,5
701,707,5
1023,1072,5
3122,3167,5
299,606,5
263,295,5
313,364,5
729,760,5
729,773,5
706,785,5
762,786,5
758,799,5
707,761,5
712,726,5
755,795,5
1042,1063,5
362,1053,5
315,330,5
360,1031,5
395,1029,5
276,611,5
3436,3491,5
205,276,5
366,385,5
730,734,5
360,1095,5
2123,2197,5
205,3104,5
3436,3471,5
226,299,5
341,360,5
355,381,5
313,324,5
679,690,5
737,751,5
785,786,5
703,768,5
392,1023,5
3410,3471,5
743,746,5
716,785,5
747,760,5
747,797,5
707,786,5
766,778,5
739,747,5
734,750,5
749,785,5
1025,1095,5
3122,3198,5
3123,3146,5
684,3180,5
330,368,5
706,743,5
703,727,5
730,793,5
734,762,5
719,768,5
774,786,5
752,774,5
1029,1043,5
1043,1095,5
721,729,5
701,781,5
299,650,5
3402,3436,5
3461,3483,5
221,244,5
221,263,5
703,740,5
